 IPMSB_GD_R102        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1983/3064 Selected Drills           16-Oct-2010 11:01
                       2054 Nails, 2213 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$38        0.372     6.358   2  C1   (B)  #1019 USBN9            V VIA .
$39        0.404     4.726   2  D1   (B)  #1070 USBP5            V VIA .
$40        0.467     4.695   2  D1   (B)  #1071 USBN5            V VIA .
$41        0.525     4.749   2  D1   (B)  #1075 USBN4            V VIA .
$42        0.534     4.675   2  D1   (B)  #1074 USBP4            V VIA .
$43        1.146     4.442   1  E1   (B)  #958  N21346668        V VIA .
$44        1.192     4.211   2  E1   (B)  #695  N17934426        V VIA .
$45        1.125     4.233   2  E1   (B)  #574  SIO_SMI#         V VIA .
$46        0.917     4.177   1  E1   (B)  #533  VSA_50MV_OV1     V VIA .
$47        0.773     4.049   1  E1   (B)  #1178 HDA_BITCLK_R     V VIA .
$48        0.439     3.971   2  E1   (B)  #1023 USBN7            V VIA .
$49        0.502     3.937   2  E1   (B)  #1022 USBP7            V VIA .
$50        0.540     3.802   1  E1   (B)  #1027 USBN6            V VIA .
$51        0.841     3.971   2  E1   (B)  #391  HDA_SYNC_R       V VIA .
$52        0.876     3.908   2  E1   (B)  #1179 HDA_AZRST#_R     V VIA .
$53        0.995     3.870   1  E1   (B)  #1908 TP_PCH_SDIN2     V PIN ST37.1
$54        1.055     4.101   2  E1   (B)  #270  CK_33M_PCIFB     V VIA .
$55        1.128     4.114   2  E1   (B)  #696  N17993549        V VIA .
$56        1.115     4.045   2  E1   (B)  #392  N38811085        V VIA .
$57        1.169     3.996   2  E1   (B)  #1907 TP_PCH_SDIN1     V PIN ST36.1
$58        1.243     3.961   2  E1   (B)  #707  LDRQ1#_GPIO23    V VIA .
$59        1.175     3.915   2  E1   (B)  #1190 USBRBIAS         V VIA .
$60        1.072     3.647   1  E1   (B)  #1058 USBP2            V VIA .
$61        0.700     3.553   1  E1   (B)  #1026 USBP6            V VIA .
$62        0.476     3.520   1  E1   (B)  #692  CATERR#_GPI      V VIA .
$63        0.792     3.353   2  E1   (B)  #1036 USBP0            V VIA .
$64        0.858     3.333   2  F1   (B)  #1007 USBN1            V VIA .
$65        0.918     3.300   2  F1   (B)  #1006 USBP1            V VIA .
$66        1.027     3.332   2  F1   (B)  #517  PCH_SUSWARN#     V VIA .
$67        1.095     3.334   2  F1   (B)  #600  PCH_SUSACK#      V VIA .
$68        1.066     3.419   1  E1   (B)  #684  OC7#/GPIO14      V VIA .
$69        1.155     3.521   1  E1   (B)  #1708 DSWVRMEN         V VIA .
$70        1.202     3.393   2  E1   (B)  #685  CLKIN_DOT_96N    V VIA .
$71        1.176     3.324   2  F1   (B)  #686  CLKIN_DOT_96P    V VIA .
$72        1.205     3.155   2  F1   (B)  #1906 TP_GPIO8         V PIN ST48.1
$73        1.137     3.116   2  F1   (B)  #327  OC45#            V VIA .
$74        1.018     3.197   2  F1   (B)  #680  SMBALERT#_GPIO11 V VIA .
$75        1.024     3.004   1  F1   (B)  #516  PCIECLKRQ7#_GPIO46 V VIA .
$76        0.943     2.916   1  F1   (B)  #50   SUS_STAT#        V VIA .
$77        0.818     3.060   1  F1   (B)  #323  OC01#            V VIA .
$78        0.173     2.960   1  F1   (B)  #730  PCH_JTAG_TDI     V VIA .
$79        0.295     2.850   2  F1   (B)  #1055 USBN3            V VIA .
$80        0.261     2.790   2  F1   (B)  #1054 USBP3            V VIA .
$81        0.241     2.709   1  F1   (B)  #1059 USBN2            V VIA .
$82        0.785     2.625   1  F1   (B)  #94   SRTCRST#         V VIA .
$83        0.772     2.746   2  F1   (B)  #1082 INTRUDER#        V VIA .
$84        0.772     2.821   2  F1   (B)  #95   RTCRST#          V VIA .
$85        0.793     2.894   2  F1   (B)  #442  RSMRST#          V VIA .
$86        1.164     2.574   1  F1   (B)  #325  OC23#            V VIA .
$87        1.088     2.499   1  F1   (B)  #332  OC1011#          V VIA .
$88        0.461     2.284   1  F1   (B)  #1037 USBN0            V VIA .
$89        0.515     1.547   1  G1   (B)  #437  SPKR             V VIA .
$90        0.678     1.358   1  G1   (B)  #708  LDREQ#           V VIA .
$91        1.232     1.861   1  G1   (B)  #226  RST_KB#          V VIA .
$92        1.536     2.070   2  G2   (B)  #856  SATA_RXP5        V VIA .
$93        1.551     1.995   2  G2   (B)  #872  SATA_RXN5        V VIA .
$94        1.580     1.815   1  G2   (B)  #865  SATA_TXP4        V VIA .
$95        1.662     1.506   2  G2   (B)  #845  SATA_TXP2        V VIA .
$96        1.628     1.438   2  G2   (B)  #847  SATA_TXN2        V VIA .
$97        1.576     1.373   1  G2   (B)  #857  SATA_TXN3        V VIA .
$98        1.715     1.434   2  G2   (B)  #859  SATA_RXN3        V VIA .
$99        1.749     1.374   2  G2   (B)  #861  SATA_RXP3        V VIA .
$100       1.909     1.326   1  G2   (B)  #867  SATA_RXP4        V VIA .
$101       1.911     1.471   1  G2   (B)  #837  SATA_TXP1        V VIA .
$102       1.981     1.534   2  G2   (B)  #843  SATA_RXP1        V VIA .
$103       2.088     1.542   2  G2   (B)  #827  SATA_TXP0        V VIA .
$104       2.054     1.603   2  G2   (B)  #829  SATA_TXN0        V VIA .
$105       1.947     1.601   2  G2   (B)  #841  SATA_RXN1        V VIA .
$106       2.029     1.697   2  G2   (B)  #835  SATA_RXP0        V VIA .
$107       1.995     1.765   2  G2   (B)  #831  SATA_RXN0        V VIA .
$108       1.840     2.194   1  F2   (B)  #853  SATA_TXP3        V VIA .
$109       1.807     2.269   2  F2   (B)  #869  SATA_RXN4        V VIA .
$110       1.454     2.413   2  F2   (B)  #731  PCH_JTAG_TMS     V VIA .
$111       1.474     2.564   1  F2   (B)  #39   PWROK            V VIA .
$112       1.907     2.589   1  F2   (B)  #694  FAB_ID_1         V VIA .
$113       2.047     2.661   1  F2   (B)  #691  FAB_ID_0         V VIA .
$114       2.161     2.743   2  F2   (B)  #1863 TP_SPI_CS1       V PIN ST24.1
$115       2.113     2.801   2  F2   (B)  #690  CLKIN_SATA_P     V VIA .
$116       2.093     2.867   2  F2   (B)  #689  CLKIN_SATA_N     V VIA .
$117       2.003     2.883   1  F2   (B)  #849  SATA_RXN2        V VIA .
$118       1.946     2.990   2  F2   (B)  #1191 SATAICOMP        V VIA .
